"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
id,biodata,,text,"Unique ID",,"Use format [hosp id][record id]",,,,,,y,,,,,
random,biodata,,yesno,Randomized?,,,,,,,,y,RH,,,,
hosp_id,biodata,,dropdown,"Hospital ID
","1, Pumwani Maternity Hospital | 53, Mama Lucy Kayole | 3, Mbagathi DH | 4, Nyeri PGH | 5, Nyahururu DH | 60, Siaya DH | 7, Bungoma DH | 62, Kisumu East DH | 65, Bondo DH | 67, Yala DH | 69, JOOTRH | 70, Kenyatta National Hospital | 57, Karatina District Hospital | 55, Kerugoya District Hospital | 80, World Friends Ruaraka Neema Hospital",,,,,,,y,,,,,
ipno,biodata,,text,"Patients IPNO",,"(input -1 for empty)",integer,,,,,y,,,,,
nar_used,biodata,,radio,"Document Source","1, NAR | 2, Free Text",,,,,,,y,RH,NA,,,
twin_delivery,biodata,,yesno,"Twin delivery?",,,,,,,,,RH,,,,
birth_wt,biodata,,text,"Birth Weight",,"In kgs (input -1 for empty)",number,0.5,5.5,,,y,,,,,
date_of_birth,biodata,,text,"Date of birth",,"(for empty date type 1914-01-01))",date_ymd,,,,,y,,NA,,,
t_birth,biodata,,text,"Time of birth",,"((If empty leave blank))",time,,,,,,,NA,,,
date_adm,biodata,,text,"Admission Date",,"(for empty date type 1914-01-01)",date_ymd,,,,,y,,,,,
t_adm,biodata,,text,"Time of admission",,"((If empty leave blank))",time,,,,,,,NA,,,
date_discharge,biodata,,text,"Date of discharge/death",,"(for empty date type 1914-01-01))",date_ymd,,,,,y,,,,,
t_discharge,biodata,,text,"Time of discharge",,"((If empty leave blank))",time,,,,,,,NA,,,
leave_period,biodata,,yesno,"Is leave period?",,,,,,,,,RH,,,,
is_minimum,biodata,,text,"Is record minimum",,,,,,,,,,,,,
date_today,biodata,,text,"Today's date",,"Select 'Today'",date_ymd,,,,,y,,,,,
age_recorded,biodata,,yesno,"Age Recorded?",,,,,,,,y,RH,,,,
